Product_ID,Product_Name,Material,CO2_per_kg,Recyclability_Score,Biodegradability_Score,Source_Country,Packaging_Type,Transport_Distance_km,Transport_Mode,Delivery_Carbon_kgCO2e,Energy_Consumption_kWh,Water_Usage_Liters,Waste_Generated_kg,Total_Sustainability_Score
P-02793,Plastic Product 2793,Paper,10.51,0.84,0.66,UK,Cardboard,3576.2,Rail,92.5,254.19,280.5,1.33,100.0
P-02794,Steel Product 2794,Plastic,11.36,0.87,0.59,China,Recycled,10047.5,Rail,38.7,48.47,102.7,3.42,100.0
P-02795,Aluminum Product 2795,Steel,6.79,0.69,0.39,India,Recycled,10497.8,Air,71.23,124.65,3050.7,0.77,100.0
P-02796,Aluminum Product 2796,Aluminum,1.08,0.75,0.8,Vietnam,Recycled,8653.1,Air,53.82,42.17,3193.3,4.66,100.0
P-02797,Steel Product 2797,Glass,6.44,0.7,0.49,Brazil,Recycled,1647.1,Air,31.98,205.66,3591.0,4.6,100.0
P-02798,Aluminum Product 2798,Plastic,6.96,0.57,0.55,UK,Recycled,1643.5,Road,71.25,28.74,2093.7,0.56,100.0
P-02799,Wood Product 2799,Wool,2.09,0.92,0.5,Brazil,Plastic,882.6,Air,17.43,91.89,1430.5,0.97,100.0
P-02800,Polyester Product 2800,Wood,10.28,0.51,0.53,Italy,Bioplastic,7857.2,Rail,105.96,173.76,4781.3,1.16,100.0
P-02801,Wool Product 2801,Steel,3.3,0.49,0.41,Germany,Plastic,7972.9,Sea,55.41,25.04,3885.4,3.75,100.0
P-02802,Plastic Product 2802,Glass,7.85,0.81,0.19,Brazil,Bioplastic,11650.4,Rail,136.7,239.95,3856.5,4.17,100.0
P-02803,Steel Product 2803,Cotton,6.43,0.21,0.37,Vietnam,Recycled,205.7,Road,140.31,221.51,2607.3,0.41,100.0
P-02804,Wool Product 2804,Wood,14.04,0.83,0.37,Germany,Paper,314.7,Road,87.8,129.63,2210.7,4.71,100.0
P-02805,Leather Product 2805,Plastic,5.23,0.51,0.82,Brazil,Recycled,7860.4,Road,89.51,281.78,4962.6,4.79,100.0
P-02806,Glass Product 2806,Steel,14.23,0.64,0.57,USA,Cardboard,5863.2,Rail,130.22,109.82,2668.4,1.32,100.0
P-02807,Leather Product 2807,Glass,12.56,0.22,0.56,Brazil,Recycled,4241.1,Air,99.66,156.63,1932.6,4.8,100.0
P-02808,Wool Product 2808,Steel,6.64,0.54,0.54,Vietnam,Plastic,11448.6,Sea,74.61,253.04,3059.3,2.77,100.0
P-02809,Leather Product 2809,Glass,14.74,0.27,0.85,Bangladesh,Paper,10890.4,Air,10.49,8.67,3385.8,1.41,100.0
P-02810,Plastic Product 2810,Aluminum,4.83,0.86,0.63,China,Paper,6108.0,Rail,81.56,97.15,439.8,2.18,100.0
P-02811,Wool Product 2811,Glass,1.89,0.34,0.43,Brazil,Bioplastic,1689.9,Sea,123.86,9.66,1992.5,3.33,100.0
P-02812,Steel Product 2812,Wool,6.78,0.31,0.77,Brazil,Plastic,1965.9,Road,74.0,56.37,491.9,1.9,100.0
P-02813,Glass Product 2813,Glass,3.52,0.45,0.83,UK,Plastic,11253.4,Air,122.93,183.57,531.5,0.85,100.0
P-02814,Wool Product 2814,Plastic,9.01,0.73,0.55,Bangladesh,Recycled,259.4,Road,106.23,209.58,3581.4,2.1,100.0
P-02815,Plastic Product 2815,Cotton,9.1,0.56,0.5,Italy,Recycled,6674.3,Rail,13.59,283.53,1095.8,0.63,100.0
P-02816,Steel Product 2816,Glass,8.68,0.81,0.74,Germany,Recycled,4305.5,Sea,26.61,49.22,1236.4,0.83,100.0
P-02817,Polyester Product 2817,Leather,11.09,0.54,0.68,China,Plastic,4894.0,Air,24.54,38.4,3502.5,3.09,100.0
P-02818,Cotton Product 2818,Polyester,6.63,0.37,0.7,China,Plastic,5846.8,Sea,4.26,90.56,1883.3,3.36,100.0
P-02819,Glass Product 2819,Plastic,5.93,0.58,0.72,USA,Cardboard,4573.9,Road,1.87,264.69,4783.6,4.26,100.0
P-02820,Glass Product 2820,Wood,6.16,0.25,0.28,USA,Recycled,5868.8,Road,90.52,152.73,3206.9,4.32,100.0
P-02821,Wood Product 2821,Glass,8.34,0.24,0.47,Germany,Cardboard,2179.3,Rail,102.22,128.19,1476.1,3.08,100.0
P-02822,Cotton Product 2822,Polyester,14.42,0.23,0.54,Turkey,Recycled,870.9,Road,67.1,173.3,1704.0,3.02,100.0
P-02823,Steel Product 2823,Cotton,5.39,0.77,0.52,USA,Paper,2249.9,Sea,89.53,286.04,408.0,1.99,100.0
P-02824,Aluminum Product 2824,Glass,4.62,0.5,0.2,China,Plastic,5840.7,Road,112.53,270.14,4919.0,3.98,100.0
P-02825,Aluminum Product 2825,Paper,12.44,0.22,0.58,UK,Paper,2280.2,Road,139.2,179.91,2252.9,4.98,100.0
P-02826,Steel Product 2826,Plastic,9.51,0.45,0.65,Brazil,Plastic,865.9,Sea,46.9,239.44,567.0,4.61,100.0
P-02827,Wool Product 2827,Glass,3.74,0.42,0.82,UK,Bioplastic,5286.1,Rail,144.99,40.15,462.1,1.32,100.0
P-02828,Plastic Product 2828,Leather,9.19,0.71,0.57,Bangladesh,Paper,9256.8,Sea,1.49,232.55,4189.8,3.88,100.0
P-02829,Plastic Product 2829,Steel,4.95,0.82,0.14,India,Bioplastic,3879.6,Sea,26.55,21.74,835.3,1.77,100.0
P-02830,Aluminum Product 2830,Steel,6.49,0.71,0.81,China,Recycled,1317.5,Air,47.27,63.15,4085.0,3.8,100.0
P-02831,Wool Product 2831,Wood,6.48,0.34,0.65,China,Bioplastic,4448.1,Rail,111.1,103.95,1875.7,3.57,100.0
P-02832,Cotton Product 2832,Leather,14.47,0.91,0.28,Brazil,Cardboard,7001.4,Road,25.71,28.25,3388.5,2.74,100.0
P-02833,Paper Product 2833,Steel,8.84,0.48,0.52,Brazil,Bioplastic,9323.9,Road,149.25,295.47,990.4,3.74,100.0
P-02834,Plastic Product 2834,Leather,2.15,0.52,0.19,UK,Paper,7920.9,Rail,76.35,187.91,4435.3,1.08,100.0
P-02835,Plastic Product 2835,Glass,7.0,0.36,0.89,Brazil,Cardboard,10137.0,Road,29.74,125.73,3126.0,1.8,100.0
P-02836,Cotton Product 2836,Plastic,9.31,0.87,0.46,Brazil,Recycled,1451.0,Rail,118.88,159.31,3018.9,3.05,100.0
P-02837,Glass Product 2837,Wool,10.82,0.53,0.25,Brazil,Plastic,4411.2,Air,5.22,272.41,3877.8,0.96,100.0
P-02838,Steel Product 2838,Paper,6.88,0.92,0.59,USA,Plastic,1557.4,Rail,145.28,196.4,2703.3,2.8,100.0
P-02839,Wool Product 2839,Glass,6.8,0.61,0.79,India,Recycled,6157.4,Road,59.85,31.87,559.1,3.27,100.0
P-02840,Glass Product 2840,Aluminum,8.7,0.73,0.52,USA,Paper,1116.4,Sea,131.0,64.61,3632.8,2.31,100.0
P-02841,Wood Product 2841,Steel,3.71,0.34,0.61,Vietnam,Plastic,9145.2,Rail,89.77,213.73,3017.8,0.44,100.0
P-02842,Polyester Product 2842,Leather,12.95,0.51,0.86,China,Recycled,9740.4,Rail,83.09,105.05,3112.9,1.62,100.0
P-02843,Leather Product 2843,Paper,6.64,0.37,0.13,Germany,Cardboard,6961.6,Air,121.43,174.43,4026.4,4.16,100.0
P-02844,Cotton Product 2844,Wool,13.58,0.35,0.25,India,Plastic,7926.7,Rail,126.14,22.85,1029.6,1.45,100.0
P-02845,Glass Product 2845,Plastic,8.03,0.83,0.3,Italy,Cardboard,9378.5,Sea,133.56,282.62,1867.3,3.09,100.0
P-02846,Plastic Product 2846,Steel,3.53,0.77,0.68,India,Cardboard,3359.5,Rail,4.14,297.83,911.4,1.66,100.0
P-02847,Aluminum Product 2847,Glass,5.91,0.84,0.63,Brazil,Plastic,3104.8,Rail,63.82,200.11,2499.9,1.07,100.0
P-02848,Steel Product 2848,Polyester,10.66,0.26,0.38,Vietnam,Cardboard,9107.4,Road,26.97,192.56,3935.2,0.22,100.0
P-02849,Plastic Product 2849,Glass,14.23,0.44,0.39,Turkey,Cardboard,11023.4,Road,126.63,169.57,3165.0,3.1,100.0
P-02850,Steel Product 2850,Wool,5.36,0.39,0.51,China,Cardboard,4825.5,Air,99.91,52.83,620.6,3.24,100.0
P-02851,Plastic Product 2851,Plastic,2.44,0.34,0.39,India,Paper,11608.9,Sea,51.57,13.88,372.2,0.68,100.0
P-02852,Plastic Product 2852,Cotton,11.96,0.31,0.24,USA,Cardboard,5841.0,Road,56.29,153.63,3239.4,3.53,100.0
P-02853,Plastic Product 2853,Cotton,10.87,0.34,0.88,Germany,Cardboard,382.2,Road,68.74,269.24,599.0,3.57,100.0
P-02854,Wood Product 2854,Cotton,3.5,0.53,0.7,India,Bioplastic,444.5,Road,110.8,14.53,3655.6,4.56,100.0
P-02855,Aluminum Product 2855,Polyester,3.0,0.58,0.14,Bangladesh,Cardboard,5088.6,Rail,100.88,106.57,3459.9,1.06,100.0
P-02856,Glass Product 2856,Cotton,12.27,0.58,0.35,Germany,Cardboard,7573.0,Air,2.62,169.98,3367.7,4.58,100.0
P-02857,Cotton Product 2857,Plastic,5.9,0.43,0.46,Bangladesh,Plastic,6559.5,Rail,115.12,96.56,1471.7,1.11,100.0
P-02858,Cotton Product 2858,Paper,14.97,0.49,0.16,India,Cardboard,5587.9,Sea,140.43,86.42,148.7,4.28,100.0
P-02859,Polyester Product 2859,Wood,12.37,0.45,0.89,UK,Paper,10569.5,Sea,50.2,228.07,4299.2,0.25,100.0
P-02860,Paper Product 2860,Polyester,8.56,0.27,0.59,Bangladesh,Plastic,5734.2,Air,28.52,118.91,978.5,4.71,100.0
P-02861,Polyester Product 2861,Plastic,6.22,0.21,0.82,Bangladesh,Bioplastic,8517.2,Rail,123.49,40.2,266.5,4.85,100.0
P-02862,Paper Product 2862,Plastic,7.01,0.76,0.86,Germany,Bioplastic,4941.0,Rail,81.39,22.1,4816.6,0.62,100.0
P-02863,Glass Product 2863,Aluminum,6.26,0.41,0.43,Bangladesh,Cardboard,6985.6,Rail,96.96,135.21,1062.0,0.19,100.0
P-02864,Steel Product 2864,Paper,13.79,0.77,0.54,Brazil,Bioplastic,5791.8,Sea,116.03,188.0,2028.0,1.65,100.0
P-02865,Leather Product 2865,Wood,4.58,0.51,0.61,Vietnam,Plastic,8016.5,Sea,52.73,59.99,3457.7,0.39,100.0
P-02866,Wool Product 2866,Wood,8.78,0.43,0.87,Germany,Recycled,5255.7,Rail,53.57,193.01,2077.5,4.73,100.0
P-02867,Aluminum Product 2867,Aluminum,7.49,0.63,0.86,USA,Bioplastic,9035.2,Road,121.25,81.79,735.5,4.05,100.0
P-02868,Polyester Product 2868,Aluminum,1.8,0.4,0.66,China,Plastic,6804.5,Air,125.83,96.55,1570.3,2.39,100.0
P-02869,Plastic Product 2869,Aluminum,5.69,0.88,0.25,USA,Plastic,1838.4,Rail,71.9,62.81,1186.6,4.2,100.0
P-02870,Wool Product 2870,Polyester,4.37,0.59,0.47,India,Bioplastic,7721.6,Air,116.18,219.34,111.1,4.65,100.0
P-02871,Polyester Product 2871,Paper,2.18,0.35,0.72,India,Recycled,3159.4,Air,140.6,124.13,2465.7,2.07,100.0
P-02872,Wool Product 2872,Wood,12.6,0.32,0.17,Brazil,Recycled,1113.0,Road,92.59,59.4,4024.9,2.37,100.0
P-02873,Paper Product 2873,Paper,11.81,0.57,0.19,India,Paper,594.8,Rail,75.6,269.62,4349.0,0.35,100.0
P-02874,Wood Product 2874,Steel,12.59,0.46,0.7,Bangladesh,Cardboard,1752.3,Rail,53.8,98.3,2997.0,4.67,100.0
P-02875,Steel Product 2875,Polyester,5.75,0.23,0.25,USA,Plastic,9070.6,Road,105.27,36.25,4754.6,4.1,100.0
P-02876,Wood Product 2876,Polyester,5.08,0.46,0.42,Bangladesh,Cardboard,4699.1,Air,32.26,101.03,3436.9,0.53,100.0
P-02877,Plastic Product 2877,Leather,5.55,0.36,0.6,Germany,Plastic,9397.9,Air,60.78,40.81,3463.5,1.14,100.0
P-02878,Plastic Product 2878,Leather,4.25,0.51,0.7,Germany,Cardboard,7076.7,Sea,97.32,47.23,3697.6,3.26,100.0
P-02879,Plastic Product 2879,Plastic,8.27,0.46,0.89,Vietnam,Plastic,7933.8,Air,13.41,76.11,3010.9,1.92,100.0
P-02880,Wool Product 2880,Wood,1.96,0.24,0.29,UK,Plastic,11128.9,Rail,8.82,106.37,2118.5,2.7,100.0
P-02881,Leather Product 2881,Cotton,5.22,0.87,0.12,UK,Paper,10604.2,Rail,32.67,146.06,3058.4,4.77,100.0
P-02882,Aluminum Product 2882,Wood,8.62,0.57,0.77,China,Paper,8195.8,Rail,38.69,268.16,2044.6,4.41,100.0
P-02883,Steel Product 2883,Cotton,1.61,0.64,0.8,Turkey,Plastic,5661.1,Road,36.05,281.26,2301.4,1.89,100.0
P-02884,Cotton Product 2884,Aluminum,14.38,0.56,0.31,UK,Cardboard,1496.1,Sea,17.69,163.65,4896.6,4.78,100.0
P-02885,Glass Product 2885,Cotton,7.54,0.41,0.14,UK,Plastic,153.1,Rail,89.47,71.02,3629.3,2.71,100.0
P-02886,Wood Product 2886,Steel,6.42,0.56,0.88,India,Cardboard,7355.5,Rail,82.76,245.72,284.9,1.94,100.0
P-02887,Aluminum Product 2887,Plastic,4.65,0.3,0.5,UK,Cardboard,8946.9,Sea,67.59,104.77,579.1,4.61,100.0
P-02888,Wood Product 2888,Plastic,2.06,0.74,0.62,Turkey,Recycled,11121.5,Air,37.7,269.55,4375.0,1.21,100.0
P-02889,Plastic Product 2889,Aluminum,5.74,0.31,0.26,Turkey,Plastic,1094.4,Sea,49.12,212.9,3328.1,4.58,100.0
P-02890,Cotton Product 2890,Leather,6.46,0.2,0.49,Germany,Cardboard,5954.5,Air,80.48,86.47,3624.3,2.29,100.0
P-02891,Leather Product 2891,Leather,8.5,0.81,0.72,Turkey,Plastic,1903.4,Sea,88.12,194.07,3070.9,4.43,100.0
P-02892,Wood Product 2892,Cotton,1.43,0.25,0.48,UK,Bioplastic,8159.2,Sea,125.24,122.32,2229.7,3.65,100.0
P-02893,Leather Product 2893,Polyester,7.52,0.92,0.66,Germany,Cardboard,692.0,Rail,112.14,206.49,4416.6,1.19,100.0
P-02894,Wool Product 2894,Wool,3.89,0.45,0.22,India,Plastic,2155.2,Rail,93.66,38.43,492.9,2.08,100.0
P-02895,Polyester Product 2895,Leather,9.13,0.89,0.43,China,Paper,6145.7,Road,127.16,70.23,4441.7,2.78,100.0
P-02896,Cotton Product 2896,Steel,6.15,0.62,0.35,Turkey,Plastic,527.8,Sea,139.11,42.24,2206.9,0.46,100.0
P-02897,Plastic Product 2897,Wool,10.34,0.43,0.25,China,Plastic,6701.6,Rail,97.93,173.18,1850.1,2.79,100.0
P-02898,Leather Product 2898,Wool,6.84,0.92,0.3,Bangladesh,Plastic,8094.7,Road,74.65,65.68,1993.8,2.9,100.0
P-02899,Plastic Product 2899,Aluminum,5.4,0.73,0.79,Brazil,Paper,149.4,Sea,90.28,105.84,3737.1,2.0,100.0
P-02900,Glass Product 2900,Wood,1.52,0.92,0.1,Vietnam,Cardboard,3270.7,Road,129.45,249.1,4261.1,1.12,100.0
P-02901,Paper Product 2901,Glass,9.27,0.29,0.6,USA,Cardboard,10611.0,Air,11.32,160.33,3981.2,0.18,100.0
P-02902,Steel Product 2902,Paper,4.57,0.8,0.84,Italy,Bioplastic,7863.8,Air,78.34,259.02,3577.1,1.45,100.0
P-02903,Plastic Product 2903,Wood,13.43,0.67,0.19,Italy,Cardboard,11806.6,Sea,51.07,289.72,3584.8,2.36,100.0
P-02904,Steel Product 2904,Aluminum,3.48,0.76,0.52,Germany,Cardboard,8291.0,Sea,10.37,48.72,2846.5,4.59,100.0
P-02905,Paper Product 2905,Plastic,9.34,0.68,0.56,Turkey,Cardboard,11456.0,Rail,45.99,36.9,1785.5,4.0,100.0
P-02906,Aluminum Product 2906,Plastic,8.75,0.68,0.64,Italy,Bioplastic,2971.2,Rail,98.78,240.88,2223.9,2.17,100.0
P-02907,Paper Product 2907,Glass,10.22,0.35,0.72,Bangladesh,Paper,11042.0,Rail,137.55,218.97,3776.4,4.21,100.0
P-02908,Wood Product 2908,Plastic,5.91,0.9,0.56,Vietnam,Bioplastic,10608.7,Air,126.47,223.62,126.8,0.37,100.0
P-02909,Paper Product 2909,Wood,6.04,0.52,0.5,Brazil,Recycled,9081.9,Road,83.56,17.59,2035.7,2.54,100.0
P-02910,Plastic Product 2910,Leather,10.27,0.54,0.54,Vietnam,Cardboard,11077.5,Road,117.96,144.2,1223.5,1.39,100.0
P-02911,Paper Product 2911,Steel,13.86,0.71,0.52,Vietnam,Plastic,10603.2,Air,5.4,262.88,4483.5,1.94,100.0
P-02912,Polyester Product 2912,Aluminum,1.18,0.34,0.63,Bangladesh,Plastic,5781.4,Air,119.07,118.65,2910.3,4.55,100.0
P-02913,Glass Product 2913,Wool,6.29,0.7,0.35,India,Bioplastic,6251.1,Rail,109.15,283.21,2847.4,1.04,100.0
P-02914,Glass Product 2914,Aluminum,13.65,0.78,0.24,Brazil,Cardboard,11307.9,Air,124.36,212.56,3795.7,4.63,100.0
P-02915,Wool Product 2915,Wood,7.72,0.24,0.59,Turkey,Paper,1065.5,Road,121.76,217.48,914.9,1.71,100.0
P-02916,Polyester Product 2916,Plastic,14.74,0.33,0.89,Bangladesh,Bioplastic,9677.9,Air,91.59,122.4,1719.5,2.11,100.0
P-02917,Wool Product 2917,Glass,3.86,0.8,0.45,Vietnam,Cardboard,9633.0,Rail,1.5,72.15,2740.6,1.06,100.0
P-02918,Aluminum Product 2918,Steel,3.71,0.82,0.16,UK,Paper,4323.1,Road,87.29,116.72,1670.1,2.4,100.0
P-02919,Plastic Product 2919,Steel,4.63,0.55,0.55,Bangladesh,Bioplastic,2729.1,Road,66.72,142.85,1438.2,2.65,100.0
P-02920,Wood Product 2920,Cotton,12.89,0.77,0.89,USA,Cardboard,9259.6,Sea,18.26,124.77,531.5,4.42,100.0
P-02921,Wool Product 2921,Cotton,5.68,0.56,0.12,Vietnam,Paper,4264.6,Road,116.82,231.17,1462.2,4.45,100.0
P-02922,Wood Product 2922,Paper,13.69,0.92,0.61,Vietnam,Cardboard,4268.5,Sea,72.88,242.08,2934.9,2.78,100.0
P-02923,Wool Product 2923,Polyester,14.71,0.87,0.17,UK,Recycled,8636.7,Road,19.02,176.28,1894.4,2.81,100.0
P-02924,Plastic Product 2924,Wool,3.93,0.7,0.46,Germany,Paper,11949.5,Rail,144.44,48.26,1625.7,1.06,100.0
P-02925,Aluminum Product 2925,Steel,13.89,0.69,0.82,China,Bioplastic,3311.6,Rail,6.44,35.85,536.0,4.88,100.0
P-02926,Wool Product 2926,Leather,14.57,0.58,0.72,Germany,Paper,5996.2,Rail,141.34,108.23,2326.7,3.28,100.0
P-02927,Paper Product 2927,Glass,13.04,0.59,0.26,UK,Recycled,6636.4,Sea,18.6,266.39,2740.7,3.92,100.0
P-02928,Plastic Product 2928,Wool,12.09,0.3,0.72,Vietnam,Cardboard,4798.0,Road,130.05,231.06,4227.0,3.66,100.0
P-02929,Glass Product 2929,Plastic,11.33,0.66,0.34,India,Bioplastic,10062.9,Air,44.49,181.08,1873.1,2.78,100.0
P-02930,Polyester Product 2930,Plastic,2.34,0.25,0.51,Bangladesh,Recycled,8099.1,Sea,30.47,162.47,3729.3,3.61,100.0
P-02931,Wood Product 2931,Aluminum,4.27,0.67,0.4,Turkey,Recycled,3754.3,Rail,135.83,205.7,2859.7,2.94,100.0
P-02932,Wood Product 2932,Aluminum,12.95,0.4,0.74,UK,Cardboard,11018.3,Rail,92.26,18.58,2794.6,3.46,100.0
P-02933,Polyester Product 2933,Paper,3.86,0.3,0.26,China,Paper,6843.8,Sea,58.86,60.38,4952.7,4.72,100.0
P-02934,Glass Product 2934,Plastic,14.51,0.74,0.56,Vietnam,Bioplastic,3224.5,Rail,9.12,7.27,1045.7,4.93,100.0
P-02935,Leather Product 2935,Aluminum,8.64,0.27,0.88,USA,Recycled,8765.5,Rail,88.44,207.96,3843.8,0.75,100.0
P-02936,Cotton Product 2936,Leather,2.45,0.87,0.5,USA,Plastic,6594.3,Road,2.93,97.9,1259.5,2.32,100.0
P-02937,Cotton Product 2937,Wood,6.24,0.9,0.49,China,Recycled,2455.6,Sea,85.3,82.37,2130.8,2.55,100.0
P-02938,Plastic Product 2938,Polyester,1.78,0.38,0.57,Germany,Recycled,10923.2,Road,127.39,244.42,4901.1,1.13,100.0
P-02939,Wool Product 2939,Cotton,6.6,0.66,0.15,Italy,Cardboard,2947.1,Road,89.17,292.8,3202.9,3.51,100.0
P-02940,Steel Product 2940,Steel,1.6,0.43,0.83,Germany,Paper,1260.5,Sea,102.82,167.98,959.0,2.48,100.0
P-02941,Plastic Product 2941,Leather,7.83,0.89,0.6,China,Recycled,11896.3,Sea,70.08,114.94,4466.8,3.11,100.0
P-02942,Wood Product 2942,Plastic,7.68,0.79,0.7,Italy,Cardboard,7760.8,Air,55.99,40.52,777.8,4.65,100.0
P-02943,Wood Product 2943,Wool,5.12,0.84,0.79,Italy,Bioplastic,4349.5,Sea,4.86,250.42,1468.6,4.29,100.0
P-02944,Paper Product 2944,Plastic,3.93,0.29,0.66,Vietnam,Cardboard,3520.5,Road,100.73,298.15,3564.7,1.11,100.0
P-02945,Leather Product 2945,Steel,6.41,0.89,0.63,India,Paper,11787.1,Rail,121.98,20.13,4892.4,0.52,100.0
P-02946,Paper Product 2946,Steel,12.61,0.28,0.47,Brazil,Recycled,11757.1,Air,122.57,187.88,2017.5,0.94,100.0
P-02947,Wool Product 2947,Paper,8.31,0.77,0.84,Turkey,Recycled,584.4,Sea,12.87,198.59,3206.1,2.8,100.0
P-02948,Wool Product 2948,Cotton,2.28,0.3,0.68,USA,Cardboard,8163.5,Road,87.42,216.78,1226.1,4.15,100.0
P-02949,Steel Product 2949,Polyester,1.47,0.92,0.32,USA,Bioplastic,9524.3,Rail,82.07,292.68,1648.4,4.58,100.0
P-02950,Plastic Product 2950,Paper,1.23,0.32,0.81,China,Paper,10697.1,Rail,30.68,251.5,2792.4,0.98,100.0
P-02951,Aluminum Product 2951,Paper,13.24,0.87,0.2,Brazil,Cardboard,10315.1,Road,65.83,98.14,2596.6,1.44,100.0
P-02952,Plastic Product 2952,Steel,1.93,0.78,0.53,UK,Bioplastic,4447.0,Road,85.16,182.34,4003.6,1.49,100.0
P-02953,Paper Product 2953,Wool,9.78,0.91,0.18,Turkey,Paper,8337.0,Rail,28.43,66.41,3802.4,1.16,100.0
P-02954,Wood Product 2954,Leather,8.68,0.2,0.29,Italy,Bioplastic,4838.8,Road,105.83,183.4,1227.2,4.82,100.0
P-02955,Wood Product 2955,Aluminum,7.26,0.42,0.9,India,Plastic,10092.4,Air,49.3,53.05,2390.1,4.87,100.0
P-02956,Leather Product 2956,Paper,12.11,0.88,0.79,China,Paper,1038.1,Road,112.22,60.99,3616.1,3.41,100.0
P-02957,Plastic Product 2957,Aluminum,14.18,0.94,0.16,Brazil,Cardboard,5971.3,Sea,14.84,216.61,4934.2,0.2,100.0
P-02958,Cotton Product 2958,Steel,8.51,0.58,0.42,USA,Bioplastic,4330.5,Air,113.87,148.96,4029.7,3.47,100.0
P-02959,Polyester Product 2959,Cotton,4.26,0.74,0.72,Brazil,Cardboard,7165.2,Road,136.73,38.24,217.4,2.38,100.0
P-02960,Steel Product 2960,Wood,3.34,0.41,0.2,USA,Plastic,1511.9,Road,55.37,243.7,2989.7,3.96,100.0
P-02961,Steel Product 2961,Glass,9.15,0.38,0.76,Germany,Plastic,9017.3,Rail,19.26,289.73,2178.1,2.94,100.0
P-02962,Plastic Product 2962,Paper,11.06,0.6,0.7,USA,Recycled,4526.4,Air,118.18,40.76,4331.8,4.87,100.0
P-02963,Leather Product 2963,Paper,13.95,0.8,0.57,Italy,Plastic,5747.9,Road,109.67,260.3,3302.2,2.78,100.0
P-02964,Wood Product 2964,Wood,11.15,0.22,0.86,China,Recycled,8678.1,Rail,85.67,91.54,1039.6,4.53,100.0
P-02965,Leather Product 2965,Glass,14.92,0.31,0.57,Vietnam,Bioplastic,3766.7,Sea,123.98,240.61,1750.8,4.47,100.0
P-02966,Paper Product 2966,Wool,4.88,0.71,0.31,UK,Cardboard,9739.3,Air,107.25,148.61,2947.7,1.77,100.0
P-02967,Steel Product 2967,Steel,9.79,0.33,0.28,USA,Paper,11375.0,Road,132.3,292.83,3839.0,3.82,100.0
P-02968,Aluminum Product 2968,Wool,8.49,0.41,0.13,Germany,Paper,10213.5,Rail,18.58,291.38,441.1,1.97,100.0
P-02969,Wool Product 2969,Polyester,14.83,0.63,0.44,Bangladesh,Plastic,5739.4,Air,10.38,14.47,1558.7,4.05,100.0
P-02970,Cotton Product 2970,Polyester,10.8,0.74,0.22,Brazil,Cardboard,894.7,Rail,149.85,164.7,3521.8,1.99,100.0
P-02971,Plastic Product 2971,Wood,10.11,0.5,0.86,Bangladesh,Plastic,10897.2,Air,33.66,73.93,1512.7,1.21,100.0
P-02972,Plastic Product 2972,Polyester,9.92,0.4,0.86,Bangladesh,Recycled,11937.7,Sea,89.63,189.16,1131.5,2.82,100.0
P-02973,Plastic Product 2973,Leather,8.91,0.44,0.12,India,Plastic,11016.9,Road,17.3,137.56,2460.8,4.81,100.0
P-02974,Aluminum Product 2974,Glass,8.36,0.54,0.55,India,Recycled,5471.2,Air,36.73,205.53,3439.2,4.45,100.0
P-02975,Paper Product 2975,Polyester,8.03,0.86,0.73,Brazil,Plastic,5304.4,Sea,137.12,243.67,1545.0,1.0,100.0
P-02976,Wool Product 2976,Plastic,14.41,0.93,0.13,Germany,Bioplastic,6065.6,Rail,103.19,176.42,1999.1,1.67,100.0
P-02977,Paper Product 2977,Leather,2.06,0.36,0.3,China,Paper,6256.4,Sea,8.13,265.6,562.6,2.35,100.0
P-02978,Paper Product 2978,Aluminum,4.28,0.22,0.3,India,Bioplastic,1446.5,Road,15.42,177.36,3381.1,1.85,100.0
P-02979,Steel Product 2979,Wool,8.5,0.41,0.17,USA,Recycled,9002.2,Air,21.96,204.45,4748.8,3.93,100.0
P-02980,Steel Product 2980,Paper,3.51,0.25,0.38,India,Plastic,9542.1,Sea,133.33,186.48,2563.9,2.36,100.0
P-02981,Wool Product 2981,Steel,3.53,0.53,0.35,Italy,Cardboard,7514.9,Air,90.41,164.45,3060.0,0.34,100.0
P-02982,Wool Product 2982,Paper,4.98,0.82,0.22,Bangladesh,Plastic,4862.9,Road,48.93,136.67,2643.7,1.92,100.0
P-02983,Wool Product 2983,Cotton,5.36,0.61,0.25,Italy,Bioplastic,4641.0,Sea,11.02,34.12,2140.7,2.32,100.0
P-02984,Wool Product 2984,Polyester,10.65,0.9,0.42,Bangladesh,Bioplastic,2351.6,Road,73.61,263.8,4219.8,2.32,100.0
P-02985,Cotton Product 2985,Steel,3.03,0.71,0.2,Brazil,Recycled,3140.0,Sea,72.28,253.39,3610.6,3.57,100.0
P-02986,Plastic Product 2986,Aluminum,12.09,0.85,0.35,Vietnam,Recycled,3988.7,Road,115.7,56.94,2993.8,3.81,100.0
P-02987,Leather Product 2987,Plastic,2.22,0.22,0.7,Germany,Cardboard,9448.1,Air,86.69,184.24,497.8,2.48,100.0
P-02988,Aluminum Product 2988,Steel,11.23,0.58,0.54,Brazil,Cardboard,11982.5,Air,127.23,242.19,2236.2,1.18,100.0
P-02989,Polyester Product 2989,Wool,7.96,0.46,0.2,Turkey,Cardboard,5110.7,Sea,135.71,265.42,4943.9,1.17,100.0
P-02990,Leather Product 2990,Aluminum,4.63,0.81,0.65,Germany,Cardboard,2588.3,Air,131.52,208.73,4101.8,3.74,100.0
